Command,Strategy,Account,Symbol,Side,Action,Contracts,Strike,Expiry,Premium,Buyback,Date,Time,Underlying,UnderlyingClose,Notes
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,165,11/28/2025,18.95,,11/18/2025,8:47:57,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,170,11/21/2025,,13.96,11/18/2025,8:47:57,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,3,167.5,11/28/2025,17.53,,11/18/2025,8:48:58,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,3,172.5,11/21/2025,,12.65,11/18/2025,8:48:58,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,180,11/28/2025,15.78,,11/20/2025,8:47:33,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,167.5,11/21/2025,,27.23,11/20/2025,8:47:33,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,165,11/28/2025,,30.2,11/20/2025,8:48:20,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,177.5,11/28/2025,18.16,,11/20/2025,8:48:20,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,165,11/28/2025,17.14,,11/21/2025,8:32:17,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,180,11/28/2025,,6,11/21/2025,8:32:17,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,162.5,11/28/2025,16.99,,11/21/2025,8:47:49,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,177.5,11/28/2025,,6,11/21/2025,8:47:49,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,165,12/5/2025,17.54,,11/26/2025,8:38:55,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,162.5,11/28/2025,,19.17,11/26/2025,8:38:55,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,167.5,12/5/2025,15.21,,11/26/2025,8:39:45,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,167.5,11/28/2025,,14.11,11/26/2025,8:39:45,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,2,167.5,12/5/2025,14.83,,11/26/2025,8:40:32,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,2,165,11/28/2025,,16.16,11/26/2025,8:40:32,,,
open,CFM_CC,Christie,NVDA,Call,TO OPEN,1,170,12/5/2025,12.75,,11/26/2025,8:41:02,,,
close,CFM_CC,Christie,NVDA,Call,TO CLOSE,1,167.5,11/28/2025,,13.69,11/26/2025,8:41:02,,,
