Command,Strategy,Account,Symbol,Side,Action,Contracts,Strike,Expiry,Premium,Buyback,Date,Time,Underlying,UnderlyingClose
open,JL,Travis,NVDA,Call,TO OPEN,2,177.5,12/12/2025,8.35,,12/4/2025,12:37,,
open,JL,Travis,NVDA,Put,TO OPEN,2,190,12/12/2025,7.97,,12/4/2025,12:36,,
close,JL,Travis,NVDA,Put,TO CLOSE,1,190,12/12/2025,,8.8,12/5/2025,10:52,,
close,JL,Travis,NVDA,Put,TO CLOSE,1,190,12/12/2025,,7.25,12/10/2025,9:50,,
close,JL,Travis,NVDA,Call,TO CLOSE,1,177.5,12/12/2025,,7.03,12/5/2025,10:55,,
open,JL,Travis,NVDA,Call,TO OPEN,1,185,12/12/2025,2.69,,12/5/2025,10:55,,
close,JL,Travis,NVDA,Call,TO CLOSE,1,185,12/12/2025,,3.5,12/9/2025,10:02,,
open,JL,Travis,NVDA,Call,TO OPEN,1,187.5,12/12/2025,2.27,,12/9/2025,10:02,,
close,JL,Travis,NVDA,Call,TO CLOSE,1,187.5,12/12/2025,,1.32,12/10/2025,8:58,,
open,JL,Travis,NVDA,Call,TO OPEN,1,185,12/12/2025,2.29,,12/10/2025,8:58,,
close,JL,Travis,NVDA,Call,TO CLOSE,1,185,12/12/2025,,0.28,12/11/2025,8:45,,
open,JL,Travis,NVDA,Put,TO OPEN,1,180,12/12/2025,2.89,,12/5/2025,10:52,,
close,JL,Travis,NVDA,Put,TO CLOSE,1,180,12/12/2025,,1.2,12/9/2025,10:02,,
open,JL,Travis,NVDA,Put,TO OPEN,1,185,12/12/2025,2.86,,12/9/2025,10:02,,
close,JL,Travis,NVDA,Put,TO CLOSE,1,185,12/12/2025,,3.83,12/10/2025,9:47,,
